what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1333175195185
error,log,,,"Core exception while retrieving the content description",1333175195185
error,log,,,"Core exception while retrieving the content description",1333175195451
error,log,,,"Core exception while retrieving the content description",1333175195451
error,log,,,"Core exception while retrieving the content description",1333175195451
error,log,,,"Core exception while retrieving the content description",1333175195451
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1333175197588
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1333175198087
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1333175198196
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333175198259
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333175198430
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1333175198633
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1333175199273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333175202362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333175213999
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1333175215590
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1333175215684
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1333175215715
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1333175215762
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1333175215809
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333175216246
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333175217572
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333175219116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333175236902
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1333175238446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333175239710
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333175264264
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1333175266058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333175298335
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333175821638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333175821809
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333175857752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333175859281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333179704919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333179706042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333179707165
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1333179707290
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1333179707446
